ESPNOverall,ESPNPlayer,ESPNPosAndRank,ESPNPosRank
55,Patrick Mahomes,QB1,1
56,Josh Allen,QB2,2
61,Kyler Murray,QB3,3
62,Dak Prescott,QB4,4
76,Lamar Jackson,QB5,5
77,Aaron Rodgers,QB6,6
78,Justin Herbert,QB7,7
89,Russell Wilson,QB8,8
90,Tom Brady,QB9,9
104,Ryan Tannehill,QB10,10
105,Jalen Hurts,QB11,11
115,Joe Burrow,QB12,12
128,Matthew Stafford,QB13,13
129,Matt Ryan,QB14,14
145,Trevor Lawrence,QB15,15
146,Tua Tagovailoa,QB16,16
147,Ben Roethlisberger,QB17,17
165,Daniel Jones,QB18,18
166,Ryan Fitzpatrick,QB19,19
167,Kirk Cousins,QB20,20
212,Justin Fields,QB21,21
219,Baker Mayfield,QB22,22
220,Deshaun Watson,QB23,23
