ESPNOverall,ESPNPlayer,ESPNPosAndRank,ESPNPosRank
8,Travis Kelce,TE1,1
36,Darren Waller,TE2,2
37,George Kittle,TE3,3
54,Mark Andrews,TE4,4
79,T.J. Hockenson,TE5,5
80,Kyle Pitts,TE6,6
81,Logan Thomas,TE7,7
82,Dallas Goedert,TE8,8
106,Robert Tonyan,TE9,9
107,Noah Fant,TE10,10
108,Mike Gesicki,TE11,11
109,Irv Smith Jr.,TE12,12
119,Jonnu Smith,TE13,13
120,Eric Ebron,TE14,14
121,Evan Engram,TE15,15
122,Rob Gronkowski,TE16,16
143,Austin Hooper,TE17,17
144,Hunter Henry,TE18,18
163,Tyler Higbee,TE19,19
164,Cole Kmet,TE20,20
168,Adam Trautman,TE21,21
211,Zach Ertz,TE22,22
